"","nmf1","nmf2","nmf3","nmf4","nmf5","nmf6","nmf7","nmf8","nmf9","nmf10","nmf11","nmf12","nmf13","nmf14","nmf15","nmf16","nmf17","nmf18","nmf19","nmf20","nmf21","nmf22","nmf23","nmf24","nmf25","nmf26","nmf27","nmf28","nmf29","nmf30","nmf31","nmf32","nmf33","nmf34","nmf35","nmf36","nmf37","nmf38","nmf39","nmf40","nmf41","nmf42","nmf43","nmf44","nmf45","nmf46","nmf47","nmf48","nmf49","nmf50","nmf51","nmf52","nmf53","nmf54","nmf55","nmf56","nmf57","nmf58","nmf59","nmf60","nmf61","nmf62","nmf63","nmf64","nmf65","nmf66","nmf67","nmf68","nmf69","nmf70","nmf71","nmf72","nmf73","nmf74","nmf75"
"1","MALAT1","PALM2-AKAP2","MALAT1","MALAT1","SCN1A","GALNTL6","GAPDH","AC013287.1","LRRTM4","ATP1B1","ENC1","MAP1A","GALNTL6","PCDH9-AS2","MEG3","LHFPL3","PCDH7","GPC5","MAP1A","LINC00609","DPP10","LRRC4C","SLC1A2","KCNIP4","TSHZ2","AC109466.1","ROBO1","LRP1B","LRRTM4","PLXDC2","VSNL1","RPS27A","CLSTN2","CADM2","MDGA2","TTTY14","MBP","XIST","PLP1","MBP","LRP1B","FLT1","ADARB2","ROBO2","RGS7","DLC1","IQCJ-SCHIP1","DPP10","SLC1A2","MALAT1","GRIK1","DPP10","TRPM3","ADARB2","SGCZ","ELOVL5","PDE4D","NKAIN2","ASIC2","AUTS2","MT-ATP6","CCSER1","TANC2","NAV3","KCNIP4","FRMD4A","CSMD3","DLG2","PTPRD","ASIC2","DMD","TRPM3","NEGR1","DLGAP1","ERBB4"
"2","KANSL1","NRXN3","SPTBN4","PDE10A","NEFM","KCND2","BEX3","AJ009632.2","HS6ST3","SERINC1","CAMK2A","NORAD","GRIK1","SNAP25-AS1","UCHL1","DSCAM","CNTN5","NRXN1","IDS","ST18","CNTNAP2","TRHDE","CST3","GRIK1","DCC","DPP10","RBFOX1","CTNNA2","KCNIP4","LRMDA","LMO4","RPL41","SNCA","IL1RAPL1","NBEA","NLGN4Y","CTNNA3","MALAT1","CNP","NDUFA4","MBD5","ATP10A","GALNTL6","KIAA1217","SMYD3","ATP1A2","NLGN1","ROBO2","NTM","SPARCL1","NPAS3","GFAP","NLGN1","SGCZ","ROBO2","NR4A1","FBXL17","ADGRB3","ROBO2","MAGI2","MT-CO3","ADGRL3","BCAS3","CNTN1","ZNF804B","JMJD1C","SNTG1","LRRC4C","GNAQ","ZNF385D","IL1RAPL1","GPC5","LRRC7","DTNA","NCAM2"
"3","DYRK1A","SPOCK1","MEG3","KCNIP4","KCNA2","KCNIP4","PEBP1","GLIS3","LINC02306","ATP6V0C","CREG2","TMOD2","NRG1","AC027288.3","ENO2","TNR","IL1RAPL2","AL589740.1","CALM1","AC012494.1","DLGAP1","PTPRT","MT-ATP6","NRXN3","KCNIP4","ROBO2","RMST","NCAM2","IQCJ-SCHIP1","DOCK4","NEFM","RPS8","SYN2","CTNNA3","NRXN3","USP9Y","MALAT1","PNISR","SCD","MTRNR2L12","CTNNA2","ABCB1","NRXN3","MARCH1","RYR2","LAMA2","LSAMP","LRP1B","MACF1","SYT1","NRXN3","ADGRV1","SGCZ","GRIP1","CDH12","FOS","CTNND2","PHACTR1","NRXN3","CNTNAP2","MT-ND4","MAPK10","PRKCA","ANKS1B","LSAMP","ATRNL1","RALYL","NTM","NTRK2","TSHZ2","FRMPD4","HPSE2","KAZN","TCF4","NAV3"
"4","LRBA","LINC01608","ELAVL3","NTRK2","SCN1B","NRXN3","CKB","LRRTM4","CSMD1","THY1","ATP2B1","DYNC1H1","CNTNAP5","AC069228.1","NCDN","LRRC4C","KCNIP4","SOX5","MAP2","SLC5A11","ZNF385D","CNTNAP5","GFAP","CSMD1","RALYL","TAFA1","LRRTM4","DPP10","CSMD1","FRMD4A","NRGN","RPL6","SYT1","PDE4B","AKAP6","UTY","IL1RAPL1","LUC7L3","PTGDS","MT3","FMNL2","ST6GALNAC3","CNTNAP2","DPP10","AKT3","PRKG1","UBE2E2","KCNIP4","CTNNA2","MT-CO1","CNTNAP2","MALAT1","ROBO1","FGF13","GRIK1","TFRC","EFNA5","KHDRBS2","OPCML","CACNA2D1","MT-CO2","PCDH7","NF1","PPFIA2","NRG1","NRG3","CSMD1","OPCML","SLC24A2","DPP10","CNKSR2","LRP1B","PDE4B","DCC","ALCAM"
"5","MBNL1","PDE1A","KAZN","PRKCE","LYNX1","DLGAP1","SRP14","AC107223.1","PDZD2","PRNP","ARPP19","AUXG01000058.1","KCND2","CTNNA3","GRIN1","PCDH15","CADPS2","PCDH9","TUBA1B","NKAIN2","RBFOX1","MGAT4C","MT-ND1","LINC02055","CTNNA2","TENM2","SNHG14","PDZRN4","HS6ST3","SFMBT2","CCK","RPL32","BASP1","PCDH9","FAM155A","MALAT1","QKI","CCDC88A","CRYAB","PLP1","DPP10","PTPRG","ROBO2","HS3ST4","FMN2","RORA","STXBP5L","CTNNA2","RORA","CALM1","ROBO2","DCLK2","CCSER1","KAZN","KIRREL3","ZNF331","PPP2R2B","KCNQ5","DPP10","DPP6","MT-CYB","KCNIP4","NLK","SOX5","ERC2","KCNMA1","RIMS2","NAV2","LINGO2","RBFOX1","FTX","LSAMP","EIF4G3","LDLRAD4","NPAS3"
"6","VPS13B","PLXDC2","CACNA1A","TNR","CPLX1","MDGA2","NDUFA4","GPC6","AC011287.1","FAIM2","CHN1","SPTBN1","RBMS3","AC110296.1","DNM1","PTPRZ1","CASC15","GPM6A","OIP5-AS1","PCDH9","FGF12","HS6ST3","MT-CO3","ROBO2","NRXN3","AC073091.3","NRXN1","CDH12","RBFOX1","ST6GAL1","ENC1","RPL37A","TMSB10","QKI","LRFN5","PNISR","PCDH9","FTX","PTMA","COX4I1","NRXN1","MECOM","SNTG1","NKAIN2","RABGAP1L","SLC6A1","CADM2","RBFOX1","GPC5","MAP1B","KIAA1217","LINC00609","LRP1B","MGAT4C","NRXN3","HSPH1","MAST4","ARID1B","RALYL","CDK14","MT-ND1","ANK2","SSH2","PLEKHA5","KCTD16","CELF2","OXR1","GRM5","FOCAD","LRP1B","DANT2","RORA","CAMTA1","WDR7","ZBTB20"
"7","RBM26","PDE1C","TCF25","ARHGAP26","TMX4","DSCAM","BEX1","CUX2","KCNIP4","SV2A","PRKCB","HSP90AB1","SGCZ","AC090579.1","PPIA","OPCML","OPCML","CARMIL1","CAMK2N1","MAN2A1","ZNF804A","CNTN5","MTRNR2L12","LSAMP","IL1RAPL2","AC008415.1","RALYL","ZNF804B","DLGAP2","ITPR2","THY1","EEF1A1","STMN2","SLC24A2","FGF14","CCDC88A","ST18","MACF1","DBNDD2","CLU","ZNF385B","THSD4","CSMD1","MDGA2","CHRM3","COLEC12","FGF12","NRG3","SYNE1","CLU","CDH13","SORBS1","NRXN1","GRIK1","KIAA1217","IDI1","CDH18","ATXN1","TRPM3","DGKI","MT-ND3","UNC5C","KANSL1","SLC2A13","TMEM132D","ANK3","SAMD12","GRIA4","ASTN2","OPCML","AL008633.1","OBI1-AS1","SGIP1","SETBP1","SYT11"
"8","PIAS1","CLMN","TNRC6A","KCNMA1","RCAN2","IL1RAPL1","HINT1","AC007368.1","GRIA4","CLSTN1","LMO4","VAMP2","RGS6","AC093879.1","TMEM59L","CSMD1","TAFA2","CACNB2","FTH1","CTNNA3","LRRTM4","TAFA1","MT-ND3","FAM155A","CNTN5","RGS6","CDH18","CNTN4","NRXN3","SRGAP2","NEFL","RPS24","SLC24A2","NLGN1","MIR99AHG","MACF1","RNF220","DDX17","FTH1","COX6A1","CNTNAP5","ABCG2","NRXN1","DLGAP1","RASAL2","EPS8","THRB","MALAT1","ADGRV1","SNAP25","GRIK2","NPAS3","GRID2","PTPRT","NCAM2","NR4A3","TRIO","RIMS1","MDGA2","EXOC4","MT-ND2","MARCH1","MAPT","TAFA2","CLSTN2","CAMK1D","NRG1","NCAM1","SH3GL2","NRXN1","ATRX","NPAS3","RERE","MAPRE2","PPP3CA"
"9","UBR5","ZNF536","SREBF2","TSPAN5","TTBK2","TMTC2","TUBB2A","ST6GALNAC5","DLGAP1","SYT11","PPP3CA","YWHAG","GALNT13","AC023590.1","ATP6V0C","NLGN1","CCSER1","CADM1","CALM3","RNF220","KIAA1217","UNC5D","APOE","DLGAP1","PTPRD","NKAIN2","IQCJ-SCHIP1","AC034268.2","CNTNAP2","MALAT1","CHN1","RPL34","SNAP25","PPP2R2B","ATP8A2","AKAP9","PPP2R2B","AKAP9","MBP","TMSB10","R3HDM1","EPAS1","CHRM3","ZFHX3","DNM3","MALAT1","ERC2","FAM155A","PITPNC1","PCDH9","RBFOX1","NRG3","CNTNAP2","FGF14","NXPH1","HSP90AA1","TENM2","SYNE1","CSMD1","DGKB","MT-CO1","TSPAN5","ACACA","CACNA1C","SORBS2","NEBL","DLGAP2","TENM4","MLLT3","AC068587.4","CDKL5","NRG3","PRKACB","DYM","PRKACB"
"10","AC118549.1","ANO4","GRIN1","DSCAM","INA","LRRTM4","YWHAH","PTPRK","CBLN2","PSAP","OLFM1","OIP5-AS1","CNTN4","AC096576.2","GDI1","LRP1B","KCNQ5","SLC1A2","CAMK2A","QKI","NXPH1","GRM7","MT-CO1","NRG3","OPCML","NRG1","MDGA2","TMEM132D","PHACTR1","FOXN3","TUBA1B","RPLP1","PCLO","ST18","GPHN","LUC7L3","DST","SRRM2","PPP1R14A","MIF","HECW2","SLC7A5","RGS12","NFIA","KCNH1","GPC5","GRM7","PTPRD","MSI2","MT-CO2","KCNMB2","CTNNA2","THSD7A","GRIN2A","GRID2","HSPA9","HCN1","PRKN","LRP1B","HDAC9","MT-ND5","RAPGEF2","TAOK1","GRIN2B","AC092691.1","GRID1","KCNQ3","SIK3","GABBR2","NKAIN2","TSPAN7","PCDH9","AGBL4","EPB41L3","USP34"
